Week,Day,Date,Result,OT,AwayFlag,Opp,Lat,Long
1,Sun,9/8/2013,W,,,Cincinnati Bengals,41.8625,-87.616667
2,Sun,9/15/2013,W,,,Minnesota Vikings,41.8625,-87.616667
5,Sun,10/6/2013,L,,,New Orleans Saints,41.8625,-87.616667
6,Thu,10/10/2013,W,,,New York Giants,41.8625,-87.616667
10,Sun,11/10/2013,L,,,Detroit Lions,41.8625,-87.616667
11,Sun,11/17/2013,W,OT,,Baltimore Ravens,41.8625,-87.616667
14,Mon,12/9/2013,W,,,Dallas Cowboys,41.8625,-87.616667
17,Sun,12/29/2013,L,,,Green Bay Packers,41.8625,-87.616667
1,Sun,9/7/2014,L,OT,,Buffalo Bills,41.8625,-87.616667
4,Sun,9/28/2014,L,,,Green Bay Packers,41.8625,-87.616667
7,Sun,10/19/2014,L,,,Miami Dolphins,41.8625,-87.616667
11,Sun,11/16/2014,W,,,Minnesota Vikings,41.8625,-87.616667
12,Sun,11/23/2014,W,,,Tampa Bay Buccaneers,41.8625,-87.616667
14,Thu,12/4/2014,L,,,Dallas Cowboys,41.8625,-87.616667
15,Mon,12/15/2014,L,,,New Orleans Saints,41.8625,-87.616667
16,Sun,12/21/2014,L,,,Detroit Lions,41.8625,-87.616667
17,Sun,1/3/2015,L,,,Detroit Lions,41.8625,-87.616667
1,Sun,9/13/2015,L,,,Green Bay Packers,41.8625,-87.616667
2,Sun,9/20/2015,L,,,Arizona Cardinals,41.8625,-87.616667
4,Sun,10/4/2015,W,,,Oakland Raiders,41.8625,-87.616667
8,Sun,11/1/2015,L,,,Minnesota Vikings,41.8625,-87.616667
11,Sun,11/22/2015,L,,,Denver Broncos,41.8625,-87.616667
13,Sun,12/6/2015,L,OT,,San Francisco 49ers,41.8625,-87.616667
14,Sun,12/13/2015,L,,,Washington Redskins,41.8625,-87.616667
