GameNum,Date,Time,AwayFlag,Opponent,Result,OT,Lat,Long
33,1/1/2015,8:00p EST,,Denver Nuggets,W,,41.880556,-87.674167
31,1/1/2016,8:00p EST,,New York Knicks,W,,41.880556,-87.674167
38,1/10/2015,8:00p EST,,Milwaukee Bucks,W,,41.880556,-87.674167
35,1/11/2014,,,Charlotte Bobcats,W,,41.880556,-87.674167
36,1/11/2016,8:00p EST,,Washington Wizards,L,,41.880556,-87.674167
39,1/12/2015,8:00p EST,,Orlando Magic,L,,41.880556,-87.674167
36,1/13/2014,,,Washington Wizards,L,,41.880556,-87.674167
40,1/14/2015,8:00p EST,,Washington Wizards,L,,41.880556,-87.674167
39,1/15/2016,8:00p EST,,Dallas Mavericks,L,,41.880556,-87.674167
42,1/17/2015,8:00p EST,,Atlanta Hawks,L,,41.880556,-87.674167
39,1/18/2014,,,Philadelphia 76ers,W,,41.880556,-87.674167
31,1/2/2014,,,Boston Celtics,W,,41.880556,-87.674167
40,1/20/2014,,,Los Angeles Lakers,W,OT,41.880556,-87.674167
41,1/20/2016,8:00p EST,,Golden State Warriors,L,,41.880556,-87.674167
44,1/22/2015,8:00p EST,,San Antonio Spurs,W,,41.880556,-87.674167
42,1/24/2014,,,Los Angeles Clippers,L,,41.880556,-87.674167
46,1/25/2015,1:00p EST,,Miami Heat,L,,41.880556,-87.674167
44,1/25/2016,8:00p EST,,Miami Heat,L,,41.880556,-87.674167
44,1/27/2014,,,Minnesota Timberwolves,L,,41.880556,-87.674167
34,1/3/2015,8:00p EST,,Boston Celtics,W,OT,41.880556,-87.674167
86,1/3/2015,,,Detroit Lions,L,,41.862500,-87.616667
32,1/4/2014,,,Atlanta Hawks,W,,41.880556,-87.674167
35,1/5/2015,8:00p EST,,Houston Rockets,W,,41.880556,-87.674167
33,1/5/2016,8:00p EST,,Milwaukee Bucks,W,,41.880556,-87.674167
33,1/7/2014,,,Phoenix Suns,W,,41.880556,-87.674167
36,1/7/2015,8:00p EST,,Utah Jazz,L,,41.880556,-87.674167
34,1/7/2016,8:00p EST,,Boston Celtics,W,,41.880556,-87.674167
78,10/10/2013,,,New York Giants,W,,41.862500,-87.616667
84,10/19/2014,,,Miami Dolphins,L,,41.862500,-87.616667
1,10/27/2015,8:00p EST,,Cleveland Cavaliers,W,,41.880556,-87.674167
2,10/31/2013,,,New York Knicks,W,,41.880556,-87.674167
2,10/31/2014,8:00p EST,,Cleveland Cavaliers,L,OT,41.880556,-87.674167
87,10/4/2015,,,Oakland Raiders,W,,41.862500,-87.616667
83,10/6/2013,,,New Orleans Saints,L,,41.862500,-87.616667
4,11/1/2015,7:00p EST,,Orlando Magic,W,,41.880556,-87.674167
89,11/1/2015,,,Minnesota Vikings,L,,41.862500,-87.616667
82,11/10/2013,,,Detroit Lions,L,,41.862500,-87.616667
8,11/10/2014,8:00p EST,,Detroit Pistons,W,,41.880556,-87.674167
6,11/11/2013,,,Cleveland Cavaliers,W,,41.880556,-87.674167
9,11/13/2015,8:00p EST,,Charlotte Hornets,W,,41.880556,-87.674167
10,11/15/2014,8:00p EST,,Indiana Pacers,L,,41.880556,-87.674167
8,11/16/2013,,,Indiana Pacers,W,,41.880556,-87.674167
86,11/16/2014,,,Minnesota Vikings,W,,41.862500,-87.616667
10,11/16/2015,8:00p EST,,Indiana Pacers,W,,41.880556,-87.674167
84,11/17/2013,,,Baltimore Ravens,W,,41.862500,-87.616667
9,11/18/2013,,,Charlotte Bobcats,W,,41.880556,-87.674167
84,11/22/2015,,,Denver Broncos,L,,41.862500,-87.616667
81,11/23/2014,,,Tampa Bay Buccaneers,W,,41.862500,-87.616667
15,11/30/2015,8:00p EST,,San Antonio Spurs,W,,41.880556,-87.674167
4,11/4/2014,8:00p EST,,Orlando Magic,W,,41.880556,-87.674167
6,11/5/2015,8:00p EST,,Oklahoma City Thunder,W,,41.880556,-87.674167
7,11/7/2015,6:00p EST,,Minnesota Timberwolves,L,OT,41.880556,-87.674167
5,11/8/2013,,,Utah Jazz,W,,41.880556,-87.674167
7,11/8/2014,8:00p EST,,Boston Celtics,L,,41.880556,-87.674167
19,12/10/2013,,,Milwaukee Bucks,L,,41.880556,-87.674167
21,12/10/2014,8:00p EST,,Brooklyn Nets,W,,41.880556,-87.674167
20,12/10/2015,8:00p EST,,Los Angeles Clippers,W,,41.880556,-87.674167
22,12/12/2014,7:00p EST,,Portland Trail Blazers,W,,41.880556,-87.674167
21,12/12/2015,8:00p EST,,New Orleans Pelicans,W,,41.880556,-87.674167
90,12/13/2015,,,Washington Redskins,L,,41.862500,-87.616667
22,12/14/2013,,,Toronto Raptors,L,,41.880556,-87.674167
22,12/14/2015,8:00p EST,,Philadelphia 76ers,W,,41.880556,-87.674167
