"","DATE","SEGMENTID","SPEED","GameType"
"55","2014-12-04","1",23.1116799208686,""
"139","2014-12-04","2",20.7567666566971,""
"223","2014-12-04","3",23.2638867782639,""
"307","2014-12-04","4",23.1606591347686,""
"391","2014-12-04","5",26.9435699883659,""
"475","2014-12-04","6",21.1885895194937,""
"559","2014-12-04","7",23.4385444046972,""
"643","2014-12-04","8",21.0044030477037,""
"727","2014-12-04","9",26.3691202896043,""
"811","2014-12-04","10",21.6488300718164,""
"895","2014-12-04","11",21.7162150288337,""
"979","2014-12-04","12",26.6866614128721,""
"1063","2014-12-04","13",26.0638086161423,""
"1147","2014-12-04","14",24.7931371454303,""
"1231","2014-12-04","15",26.9868059878476,""
"1315","2014-12-04","16",26.9868059878672,""
"1399","2014-12-04","17",28.5181773335353,""
"1483","2014-12-04","19",30.7484148450566,""
"1567","2014-12-04","20",27.1517789169666,""
"1651","2014-12-04","21",29.2662198792214,""
"1735","2014-12-04","22",28.4241855344215,""
"1819","2014-12-04","23",28.5142326175098,""
"1903","2014-12-04","24",31.8936665267449,""
"1987","2014-12-04","25",24.3420706606281,""
"2071","2014-12-04","26",26.5392991388421,""
"2155","2014-12-04","27",28.9747606652549,""
"2239","2014-12-04","28",21.9840551400681,""
"2323","2014-12-04","29",24.0508722060905,""
"2407","2014-12-04","30",25.8048755575562,""
"2491","2014-12-04","31",23.4238396480749,""
"2575","2014-12-04","32",22.1169634156047,""
"2659","2014-12-04","33",23.9486212531133,""
"2743","2014-12-04","34",24.6967660953245,""
"2827","2014-12-04","35",27.1236988810952,""
"2911","2014-12-04","36",29.9682723840508,""
"2995","2014-12-04","37",20.794604509721,""
"3079","2014-12-04","38",21.2634091080841,""
"3163","2014-12-04","39",22.3586649881896,""
"3247","2014-12-04","40",20.5182962131537,""
"3331","2014-12-04","41",22.8999865783125,""
"3415","2014-12-04","42",18.5041125382596,""
"3499","2014-12-04","43",22.088600041544,""
"3583","2014-12-04","44",24.2921967075753,""
"3667","2014-12-04","45",20.4026050749019,""
"3751","2014-12-04","46",18.1289364037744,""
"3835","2014-12-04","47",20.3963016498458,""
"3919","2014-12-04","48",21.8503289056071,""
"4003","2014-12-04","49",20.4088584232247,""
"4087","2014-12-04","50",21.3269529714435,""
"4171","2014-12-04","51",20.6366679904103,""
"4255","2014-12-04","52",23.0009147050446,""
"4339","2014-12-04","53",22.313161256306,""
"4423","2014-12-04","54",21.1631645676981,""
"4507","2014-12-04","55",21.2587293419115,""
"4591","2014-12-04","56",30.9660396992684,""
"4675","2014-12-04","57",25.4028998106986,""
"4759","2014-12-04","59",33.2226008208742,""
"4843","2014-12-04","60",29.5300143198388,""
"4927","2014-12-04","61",31.1977538785495,""
"5011","2014-12-04","62",28.9218840516485,""
"5095","2014-12-04","63",29.5521630898531,""
"5179","2014-12-04","64",30.4773742782665,""
"5263","2014-12-04","65",24.0105617533171,""
"5347","2014-12-04","66",27.0673208416463,""
"5431","2014-12-04","67",29.5593744735405,""
"5515","2014-12-04","68",24.0055936576856,""
"5599","2014-12-04","69",25.8946365937998,""
"5683","2014-12-04","70",24.3901007824279,""
"5767","2014-12-04","71",23.4430347785995,""
"5851","2014-12-04","72",23.4019096159846,""
"5935","2014-12-04","73",21.6477259338586,""
"6019","2014-12-04","74",24.596851276853,""
"6103","2014-12-04","75",30.551581919148,""
"6187","2014-12-04","76",28.7984145874211,""
"6271","2014-12-04","77",19.5942589609837,""
"6355","2014-12-04","78",22.5838259563728,""
"6439","2014-12-04","79",20.599384390631,""
"6523","2014-12-04","80",21.7996379022426,""
"6607","2014-12-04","81",22.8228484168485,""
"6691","2014-12-04","82",19.8530170199926,""
"6775","2014-12-04","83",18.5549093133608,""
"6859","2014-12-04","84",24.3310533342476,""
"6943","2014-12-04","85",21.7533719357444,""
"7027","2014-12-04","86",20.6958362707062,""
"7111","2014-12-04","87",22.3334684469272,""
"7195","2014-12-04","88",20.7998643628013,""
"7279","2014-12-04","89",19.0050061990552,""
"7363","2014-12-04","90",22.7603624254007,""
"7447","2014-12-04","91",19.8349385978627,""
"7531","2014-12-04","92",23.2963656222759,""
"7615","2014-12-04","93",20.3273183418757,""
"7699","2014-12-04","94",20.1977382462681,""
"7783","2014-12-04","95",22.3396161869871,""
"7867","2014-12-04","96",28.3066150380101,""
"7951","2014-12-04","97",24.4406906448217,""
"8035","2014-12-04","98",25.1160397973576,""
"8119","2014-12-04","99",23.3973211275577,""
"8203","2014-12-04","100",22.3466915773318,""
"8287","2014-12-04","101",21.4804594438683,""
"8371","2014-12-04","102",27.4465379653429,""
"8455","2014-12-04","103",21.0511852713657,""
"8539","2014-12-04","104",23.1302430957173,""
"8623","2014-12-04","105",25.443207140048,""
"8707","2014-12-04","106",22.4365557616102,""
"8791","2014-12-04","107",22.8125325845139,""
"8875","2014-12-04","108",21.6943123524003,""
"8959","2014-12-04","109",21.9287439782327,""
"9043","2014-12-04","110",24.4175324382196,""
"9127","2014-12-04","111",24.8227418861995,""
"9211","2014-12-04","112",23.7568950235699,""
"9295","2014-12-04","113",29.6518162049127,""
"9379","2014-12-04","114",19.3770777773987,""
"9463","2014-12-04","115",22.2184430842222,""
"9547","2014-12-04","116",19.5269662415782,""
"9631","2014-12-04","117",20.4360486609344,""
"9715","2014-12-04","118",23.3825741848091,""
"9799","2014-12-04","119",21.2058230322494,""
"9883","2014-12-04","120",19.9816486917292,""
"9967","2014-12-04","121",21.6373481654235,""
"10051","2014-12-04","122",21.6360773565443,""
"10135","2014-12-04","123",20.7413694088609,""
"10219","2014-12-04","124",22.3403864198496,""
"10303","2014-12-04","125",18.3541064577887,""
"10387","2014-12-04","126",23.1122571399064,""
"10471","2014-12-04","127",22.9709029398243,""
"10537","2014-12-04","129",22.7266333791313,""
"10605","2014-12-04","131",22.3724804361273,""
"10689","2014-12-04","132",19.255251595978,""
"10773","2014-12-04","133",24.5166406252427,""
"10857","2014-12-04","134",21.5480435349077,""
"10941","2014-12-04","135",23.2751900692479,""
"11025","2014-12-04","136",22.8600177603882,""
"11109","2014-12-04","137",25.75582153548,""
"11193","2014-12-04","138",21.7243065742098,""
"11277","2014-12-04","139",22.9908874098025,""
"11361","2014-12-04","140",23.5883367067842,""
"11445","2014-12-04","141",22.3377016461899,""
"11529","2014-12-04","142",22.276923872299,""
"11613","2014-12-04","143",22.0115419560982,""
"11697","2014-12-04","144",20.9691912850081,""
"11781","2014-12-04","145",26.0014170771361,""
"11865","2014-12-04","146",22.8119043389404,""
"11949","2014-12-04","147",23.6906203711626,""
"12033","2014-12-04","148",30.4634233355602,""
"12117","2014-12-04","149",17.3267377715319,""
"12201","2014-12-04","150",23.4519973187636,""
"12285","2014-12-04","151",19.6709103195655,""
"12369","2014-12-04","152",20.6678731159359,""
"12453","2014-12-04","153",22.0680242105978,""
"12537","2014-12-04","154",19.4725443424159,""
"12621","2014-12-04","155",21.0755512322571,""
"12705","2014-12-04","156",19.5388601806857,""
"12789","2014-12-04","157",24.748623489209,""
"12873","2014-12-04","158",20.8502438619967,""
"12957","2014-12-04","159",21.5252480345467,""
"13041","2014-12-04","160",21.5023147267008,""
"13125","2014-12-04","161",20.888556694459,""
"13209","2014-12-04","162",23.741056779484,""
"13293","2014-12-04","166",22.631957231734,""
"13377","2014-12-04","168",29.1477585175188,""
"13461","2014-12-04","169",23.3817071462504,""
"13544","2014-12-04","170",23.995980645684,""
"13628","2014-12-04","171",23.7863487818261,""
"13712","2014-12-04","172",22.6297820291036,""
"13796","2014-12-04","173",23.0155066881255,""
"13880","2014-12-04","174",23.3904334516558,""
"13964","2014-12-04","175",28.0501107528903,""
"14048","2014-12-04","176",23.2831286922528,""
"14132","2014-12-04","177",22.6990446210883,""
"14216","2014-12-04","178",22.8913234369255,""
"14300","2014-12-04","179",26.3364550673288,""
"14384","2014-12-04","180",18.7657470156224,""
"14468","2014-12-04","181",20.6221161798642,""
"14552","2014-12-04","182",27.7236054342331,""
"14636","2014-12-04","183",25.8170836016639,""
"14720","2014-12-04","184",27.967722598999,""
"14804","2014-12-04","185",29.2371275207681,""
"14888","2014-12-04","186",19.7554058525251,""
"14972","2014-12-04","187",20.82344817012,""
"15056","2014-12-04","188",19.0869943606373,""
"15140","2014-12-04","189",20.8981009067307,""
"15224","2014-12-04","190",21.0846733505074,""
"15308","2014-12-04","191",18.1799995547605,""
"15392","2014-12-04","192",19.6098945054922,""
"15476","2014-12-04","193",18.7208414342905,""
"15560","2014-12-04","194",21.1749726966632,""
"15644","2014-12-04","195",22.3723417867001,""
"15728","2014-12-04","196",26.7581139707526,""
"15812","2014-12-04","197",27.3275213275036,""
"15896","2014-12-04","198",24.9884590056855,""
"15980","2014-12-04","199",21.704358109969,""
"16064","2014-12-04","200",21.6787168126013,""
"16148","2014-12-04","201",24.0626455867938,""
"16232","2014-12-04","202",21.8639541894221,""
"16316","2014-12-04","203",20.4110323422484,""
"16400","2014-12-04","204",19.9618744476514,""
